,Bahis Tipi,Tercih,Olasılıklar,Oranlar,Değer,,,Bahis Tipi,Tercih,Olasılıklar,Oranlar,Değer,,kelly,kazanç
50,Maç Sonucu ve Alt / Üst 3.5,1 ve 3.5 Üst,8,"8,57","0,6856",,114,Hangi Takım Kaç Farkla Kazanır,Dep 2,10,"9,13","0,913",,,
51,Maç Sonucu ve Alt / Üst 3.5,0 ve 3.5 Üst,8,"13,55","1,084",,27,İlk Yarı Alt / Üst,0.5 ÜST,68,"1,34","0,9112",,,
52,Maç Sonucu ve Alt / Üst 3.5,2 ve 3.5 Üst,5,"12,1","0,605",,166,Altı/Üstü ve Karşılıklı Gol,Üst ve Yok 2.5,9,"10,1","0,909",,,
53,Maç Sonucu ve Alt / Üst 4.5,1 ve 4.5 Alt,28,"2,34","0,6552",,29,İlk Yarı Alt / Üst,1.5 ÜST,31,"2,93","0,9083",,,
54,Maç Sonucu ve Alt / Üst 4.5,0 ve 4.5 Alt,25,"2,74","0,685",,58,Maç Sonucu ve Alt / Üst 4.5,2 ve 4.5 Üst,4,"22,7","0,908",,,
55,Maç Sonucu ve Alt / Üst 4.5,2 ve 4.5 Alt,35,"2,95","1,0325",,97,Deplasman Takım Hangi Yarıda Daha Çok Gol Atar,Eşit,47,"1,93","0,9071",,,
56,Maç Sonucu ve Alt / Üst 4.5,1 ve 4.5 Üst,6,"16,35","0,981",,25,Karşılıklı Gol,YOK,55,"1,64","0,902",,,
57,Maç Sonucu ve Alt / Üst 4.5,0 ve 4.5 Üst,2,"34,5","0,69",,168,İlk Yarı Skoru,1 – 1,11,"8,15","0,8965",,,
58,Maç Sonucu ve Alt / Üst 4.5,2 ve 4.5 Üst,4,"22,7","0,908",,223,İlk Yarı Tek/Çift,Tek,46,"1,94","0,8924",,,
59,Çifte Şans,1 ve 0,61,"1,38","0,8418",,6,Toplam Gol Alt / Üst,1.5 ÜST,71,"1,25","0,8875",,,
60,Çifte Şans,1 ve 2,73,"1,37","1,0001",,87,Toplam Gol,2-3 gol,50,"1,77","0,885",,,
61,Çifte Şans,0 ve 2,66,"1,49","0,9834",,69,Deplasman Alt / Üst,0.5 Üst,69,"1,28","0,8832",,,
